second,Volt,Volt
x-axis,1,2
+425.000E-06,+9.051522791E+00,+2.513569E-03
+426.562E-06,+9.051522791E+00,+2.513569E-03
+428.125E-06,+8.998779073E+00,+2.513569E-03
+429.687E-06,+8.998779073E+00,+2.513569E-03
+431.250E-06,+8.946035355E+00,+2.513569E-03
+432.812E-06,+8.893291637E+00,+968.343E-06
+434.375E-06,+8.893291637E+00,+2.513569E-03
+435.937E-06,+8.840547919E+00,+968.343E-06
+437.500E-06,+8.787804201E+00,+2.513569E-03
+439.062E-06,+8.787804201E+00,+2.513569E-03
+440.625E-06,+8.735060483E+00,+2.513569E-03
+442.187E-06,+8.735060483E+00,+968.343E-06
+443.750E-06,+8.682316765E+00,+2.513569E-03
+445.312E-06,+8.629573047E+00,+968.343E-06
+446.875E-06,+8.576829329E+00,+865.328E-06
+448.437E-06,+8.576829329E+00,+2.513569E-03
+450.000E-06,+8.524085611E+00,+2.513569E-03
+451.562E-06,+8.524085611E+00,+2.513569E-03
+453.125E-06,+8.471341893E+00,+2.513569E-03
+454.687E-06,+8.471341893E+00,+2.513569E-03
+456.250E-06,+8.418598175E+00,+2.513569E-03
+457.812E-06,+8.365854457E+00,+2.513569E-03
+459.375E-06,+8.365854457E+00,+2.513569E-03
+460.937E-06,+8.313110739E+00,+968.343E-06
+462.500E-06,+8.260367021E+00,+2.513569E-03
+464.062E-06,+8.207623303E+00,+2.513569E-03
+465.625E-06,+8.207623303E+00,+2.513569E-03
+467.187E-06,+8.154879585E+00,+2.513569E-03
+468.750E-06,+8.102135867E+00,+968.343E-06
+470.312E-06,+8.049392149E+00,+865.328E-06
+471.875E-06,+7.996648431E+00,+2.513569E-03
+473.437E-06,+7.996648431E+00,+2.513569E-03
+475.000E-06,+7.943904713E+00,+2.513569E-03
+476.562E-06,+7.943904713E+00,+2.513569E-03
+478.125E-06,+7.891160995E+00,+2.513569E-03
+479.687E-06,+7.838417277E+00,+2.513569E-03
+481.250E-06,+7.785673559E+00,+968.343E-06
+482.812E-06,+7.732929841E+00,+2.513569E-03
+484.375E-06,+7.732929841E+00,+968.343E-06
+485.937E-06,+7.627442405E+00,+865.328E-06
+487.500E-06,+7.627442405E+00,+2.513569E-03
+489.062E-06,+7.574698687E+00,+968.343E-06
+490.625E-06,+7.574698687E+00,+2.513569E-03
+492.187E-06,+7.521954969E+00,+2.513569E-03
+493.750E-06,+7.469211251E+00,+2.513569E-03
+495.312E-06,+7.416467533E+00,+2.513569E-03
+496.875E-06,+7.363723814E+00,+2.513569E-03
+498.437E-06,+7.310980096E+00,+2.513569E-03
+500.000E-06,+7.310980096E+00,+968.343E-06
+501.562E-06,+7.258236378E+00,+2.513569E-03
+503.125E-06,+7.205492660E+00,+968.343E-06
+504.687E-06,+7.152748942E+00,+2.513569E-03
+506.250E-06,+7.100005224E+00,+2.513569E-03
+507.812E-06,+7.047261506E+00,+968.343E-06
+509.375E-06,+7.047261506E+00,+865.328E-06
+510.937E-06,+6.994517788E+00,+865.328E-06
+512.500E-06,+6.941774070E+00,+2.513569E-03
+514.062E-06,+6.889030352E+00,+968.343E-06
+515.625E-06,+6.836286634E+00,+2.513569E-03
+517.187E-06,+6.836286634E+00,+2.513569E-03
+518.750E-06,+6.783542916E+00,+2.513569E-03
+520.312E-06,+6.678055480E+00,+968.343E-06
+521.875E-06,+6.625311762E+00,+865.328E-06
+523.437E-06,+6.625311762E+00,+2.513569E-03
+525.000E-06,+6.572568044E+00,+2.513569E-03
+526.562E-06,+6.519824326E+00,+2.513569E-03
+528.125E-06,+6.467080608E+00,+2.513569E-03
+529.687E-06,+6.414336890E+00,+2.513569E-03
+531.250E-06,+6.361593172E+00,+2.513569E-03
+532.812E-06,+6.308849454E+00,+968.343E-06
+534.375E-06,+6.256105736E+00,+2.513569E-03
+535.937E-06,+6.256105736E+00,+2.513569E-03
+537.500E-06,+6.150618300E+00,+2.513569E-03
+539.062E-06,+6.150618300E+00,+2.513569E-03
+540.625E-06,+6.097874582E+00,+2.513569E-03
+542.187E-06,+6.045130864E+00,+968.343E-06
+543.750E-06,+5.992387146E+00,+2.513569E-03
+545.313E-06,+5.939643428E+00,+2.513569E-03
+546.875E-06,+5.886899710E+00,+2.513569E-03
+548.438E-06,+5.834155992E+00,+2.513569E-03
+550.000E-06,+5.781412274E+00,+2.513569E-03
+551.563E-06,+5.781412274E+00,+968.343E-06
+553.125E-06,+5.675924838E+00,+2.513569E-03
+554.688E-06,+5.623181120E+00,+2.513569E-03
+556.250E-06,+5.623181120E+00,+968.343E-06
+557.813E-06,+5.570437402E+00,+2.513569E-03
+559.375E-06,+5.464949965E+00,+2.513569E-03
+560.938E-06,+5.412206247E+00,+2.513569E-03
+562.500E-06,+5.359462529E+00,+968.343E-06
+564.063E-06,+5.356166047E+00,+2.513569E-03
+565.625E-06,+5.303422329E+00,+968.343E-06
+567.188E-06,+5.250678611E+00,+2.513569E-03
+568.750E-06,+5.197934893E+00,+2.513569E-03
+570.313E-06,+5.145191175E+00,+2.513569E-03
+571.875E-06,+5.092447457E+00,+968.343E-06
+573.438E-06,+5.043000221E+00,+2.513569E-03
+575.000E-06,+4.990256503E+00,+2.513569E-03
+576.563E-06,+4.937512785E+00,+2.513569E-03
+578.125E-06,+4.884769067E+00,+2.513569E-03
+579.688E-06,+4.832025349E+00,+968.343E-06
+581.250E-06,+4.832025349E+00,+2.513569E-03
+582.813E-06,+4.779281631E+00,+2.513569E-03
+584.375E-06,+4.726537913E+00,+865.328E-06
+585.938E-06,+4.673794195E+00,+968.343E-06
+587.500E-06,+4.568306759E+00,+2.513569E-03
+589.063E-06,+4.568306759E+00,+968.343E-06
+590.625E-06,+4.515563041E+00,+2.513569E-03
+592.188E-06,+4.515563041E+00,+2.513569E-03
+593.750E-06,+4.410075605E+00,+2.513569E-03
+595.313E-06,+4.357331887E+00,+2.513569E-03
+596.875E-06,+4.304588169E+00,+2.513569E-03
+598.438E-06,+4.251844451E+00,+865.328E-06
+600.000E-06,+4.199100733E+00,+865.328E-06
+601.563E-06,+4.146357015E+00,+968.343E-06
+603.125E-06,+4.093613297E+00,+2.513569E-03
+604.688E-06,+4.093613297E+00,+2.513569E-03
+606.250E-06,+4.040869579E+00,+2.513569E-03
+607.813E-06,+3.988125861E+00,+2.513569E-03
+609.375E-06,+3.882638425E+00,+2.513569E-03
+610.938E-06,+3.882638425E+00,+865.328E-06
+612.500E-06,+3.829894707E+00,+968.343E-06
+614.063E-06,+3.724407271E+00,+2.513569E-03
+615.625E-06,+3.724407271E+00,+968.343E-06
+617.188E-06,+3.671663553E+00,+2.513569E-03
+618.750E-06,+3.618919834E+00,+865.328E-06
+620.313E-06,+3.566176116E+00,+968.343E-06
+621.875E-06,+3.566176116E+00,+2.513569E-03
+623.438E-06,+3.513432398E+00,+2.513569E-03
+625.000E-06,+3.460688680E+00,+968.343E-06
+626.563E-06,+3.407944962E+00,+2.513569E-03
+628.125E-06,+3.355201244E+00,+2.513569E-03
+629.688E-06,+3.302457526E+00,+2.513569E-03
+631.250E-06,+3.249713808E+00,+2.513569E-03
+632.813E-06,+3.196970090E+00,+2.513569E-03
+634.375E-06,+3.144226372E+00,+2.513569E-03
+635.938E-06,+3.091482654E+00,+2.513569E-03
+637.500E-06,+3.091482654E+00,+2.513569E-03
+639.063E-06,+2.985995218E+00,+865.328E-06
+640.625E-06,+2.985995218E+00,+968.343E-06
+642.188E-06,+2.933251500E+00,+2.513569E-03
+643.750E-06,+2.880507782E+00,+2.513569E-03
+645.313E-06,+2.827764064E+00,+2.513569E-03
+646.875E-06,+2.775020346E+00,+2.513569E-03
+648.438E-06,+2.722276628E+00,+2.513569E-03
+650.000E-06,+2.669532910E+00,+968.343E-06
+651.563E-06,+2.669532910E+00,+2.513569E-03
+653.125E-06,+2.616789192E+00,+2.513569E-03
+654.688E-06,+2.564045474E+00,+968.343E-06
+656.250E-06,+2.458558038E+00,+2.513569E-03
+657.813E-06,+2.458558038E+00,+2.513569E-03
+659.375E-06,+2.405814320E+00,+2.513569E-03
