second,Volt,Volt
x,1,2
-173.2500E-03,+6.8693467E+00,+5.4221105E+00
-173.0000E-03,+6.8341708E+00,+5.4673366E+00
-172.7500E-03,+6.8341708E+00,+5.3869346E+00
-172.5000E-03,+6.8793969E+00,+5.6884422E+00
-172.2500E-03,+6.7537688E+00,+5.4572864E+00
-172.0000E-03,+6.8040200E+00,+5.4070351E+00
-171.7500E-03,+6.7236180E+00,+5.4623115E+00
-171.5000E-03,+6.7537688E+00,+5.0703517E+00
-171.2500E-03,+6.7185929E+00,+5.2864321E+00
-171.0000E-03,+6.6733668E+00,+5.3668341E+00
-170.7500E-03,+6.6733668E+00,+5.3366834E+00
-170.5000E-03,+6.6281406E+00,+5.2613065E+00
-170.2500E-03,+6.5929648E+00,+4.8492462E+00
-170.0000E-03,+6.5125627E+00,+4.7738693E+00
-169.7500E-03,+6.4723617E+00,+4.7688442E+00
-169.5000E-03,+6.5125627E+00,+5.0653266E+00
-169.2500E-03,+6.4321607E+00,+4.6381909E+00
-169.0000E-03,+6.3718592E+00,+4.5829145E+00
-168.7500E-03,+6.3517587E+00,+4.7386934E+00
-168.5000E-03,+6.3216080E+00,+4.6633165E+00
-168.2500E-03,+6.2713567E+00,+4.3969849E+00
-168.0000E-03,+6.1909547E+00,+4.5678391E+00
-167.7500E-03,+6.1105527E+00,+4.5075376E+00
-167.5000E-03,+6.0904522E+00,+4.3567839E+00
-167.2500E-03,+5.9597989E+00,+4.0854271E+00
-167.0000E-03,+5.9899497E+00,+3.9748743E+00
-166.7500E-03,+5.9497487E+00,+3.9648241E+00
-166.5000E-03,+5.9296482E+00,+4.1005025E+00
-166.2500E-03,+5.8341708E+00,+3.9698492E+00
-166.0000E-03,+5.7839195E+00,+3.7085427E+00
-165.7500E-03,+5.6783919E+00,+3.7236181E+00
-165.5000E-03,+5.5979899E+00,+3.5326633E+00
-165.2500E-03,+5.4673366E+00,+3.3819095E+00
-165.0000E-03,+5.5125628E+00,+3.4723618E+00
-164.7500E-03,+5.4472361E+00,+3.2914573E+00
-164.5000E-03,+5.3869346E+00,+3.2160804E+00
-164.2500E-03,+5.2663316E+00,+3.2562814E+00
-164.0000E-03,+5.2110552E+00,+3.2261306E+00
-163.7500E-03,+5.1457286E+00,+3.0703517E+00
-163.5000E-03,+4.9849246E+00,+3.1356784E+00
-163.2500E-03,+4.9849246E+00,+3.0402010E+00
-163.0000E-03,+4.9396984E+00,+2.8944723E+00
-162.7500E-03,+4.7939698E+00,+2.8040201E+00
-162.5000E-03,+4.7386934E+00,+2.4924623E+00
-162.2500E-03,+4.6633165E+00,+2.5628140E+00
-162.0000E-03,+4.5226130E+00,+2.3065326E+00
-161.7500E-03,+4.5025125E+00,+2.4723618E+00
-161.5000E-03,+4.4221105E+00,+2.1959799E+00
-161.2500E-03,+4.3417085E+00,+2.0402010E+00
-161.0000E-03,+4.2613065E+00,+1.9396985E+00
-160.7500E-03,+4.1809045E+00,+2.0904522E+00
-160.5000E-03,+4.1005025E+00,+1.9195980E+00
-160.2500E-03,+3.9396985E+00,+1.6231156E+00
-160.0000E-03,+3.8592964E+00,+1.5276382E+00
-159.7500E-03,+3.7788944E+00,+1.4522613E+00
-159.5000E-03,+3.6984924E+00,+1.3919598E+00
-159.2500E-03,+3.6180904E+00,+1.2311558E+00
-159.0000E-03,+3.4572864E+00,+1.2864321E+00
-158.7500E-03,+3.4572864E+00,+1.1407035E+00
-158.5000E-03,+3.2964824E+00,+1.0854271E+00
-158.2500E-03,+3.2160804E+00,+884.4221E-03
-158.0000E-03,+3.0904522E+00,+804.0201E-03
-157.7500E-03,+2.9748743E+00,+723.6181E-03
-157.5000E-03,+2.9547738E+00,+562.8141E-03
-157.2500E-03,+2.8140703E+00,+522.6131E-03
-157.0000E-03,+2.7336683E+00,+402.0100E-03
-156.7500E-03,+2.6532663E+00,+321.6080E-03
-156.5000E-03,+2.4924623E+00,+241.2060E-03
-156.2500E-03,+2.4120603E+00,+155.7789E-03
-156.0000E-03,+2.3316583E+00,+0.0E+00
-155.7500E-03,+2.2261306E+00,-80.4020E-03
-155.5000E-03,+2.0904522E+00,-160.8040E-03
-155.2500E-03,+1.9296482E+00,-281.4070E-03
-155.0000E-03,+1.8492462E+00,-402.0100E-03
-154.7500E-03,+1.7688442E+00,-547.7387E-03
-154.5000E-03,+1.6482412E+00,-597.9899E-03
-154.2500E-03,+1.5276382E+00,-723.6181E-03
-154.0000E-03,+1.4472362E+00,-804.0201E-03
-153.7500E-03,+1.3668342E+00,-964.8241E-03
-153.5000E-03,+1.2060301E+00,-1.0452261E+00
-153.2500E-03,+1.1256281E+00,-1.1507538E+00
-153.0000E-03,+1.0452261E+00,-1.2060301E+00
-152.7500E-03,+884.4221E-03,-1.2864321E+00
-152.5000E-03,+804.0201E-03,-1.4472362E+00
-152.2500E-03,+723.6181E-03,-1.5276382E+00
-152.0000E-03,+562.8141E-03,-1.6080402E+00
-151.7500E-03,+402.0100E-03,-1.7236181E+00
-151.5000E-03,+321.6080E-03,-1.8492462E+00
-151.2500E-03,+241.2060E-03,-1.9296482E+00
-151.0000E-03,+160.8040E-03,-2.0100502E+00
-150.7500E-03,+70.3518E-03,-2.0954774E+00
